,Carbon dioxide damage,Energy depletion,Mineral depletion,Natural resources depletion,Net forest depletion,Particulate emission damage,Annual freshwater withdrawals,CO2 emissions,Death rate,Diabetes prevalence,Fertility rate,Water stress,Life expectancy,Methane emissions,"Mortality from CVD, cancer, diabetes or CRD",Mortality rate attributed to air pollution,Adult female mortality rate,Adult male mortality rate,Infant mortality rate,Nitrous oxide emissions,Air pollution,Female Survival to age 65,Male Survival to age 65,Greenhouse gas emissions
1960,1.553403617,1.421920783,0.723385246,1.421920783,0.595214366,0.89522149,15.83167957,21.24213706,9.5,15.50375296,3.654,33.71009942,69.77073171,0.91522149,14.98698582,26.6909026,130.63,233.293,25.9,2.155688985,43.82768673,78.217351,63.763318,5.567848638
1961,1.565711653,1.306607269,0.435940646,1.306607269,0.435940646,0.435940646,19.63098864,19.15521072,9.3,12.29471677,3.62,31.69184821,70.27073171,0.435940646,16.66993332,26.49055513,126.608,226.703,25.4,0.4836113,43.5849041,78.842304,64.605857,5.69461745
1962,1.612088194,1.26339768,0.406475106,1.26339768,0.406475106,0.406475106,19.39507528,19.05123164,9.5,15.87379116,3.461,31.6799414,70.1195122,0.406475106,16.33729437,23.80053076,128.623,229.823,24.9,1.253226812,42.34190416,78.614493,64.250702,5.584133576
1963,1.506563286,1.218676593,0.376369988,1.218676593,0.376369988,0.386152383,17.92109326,16.3238392,9.6,16.28536552,3.319,28.8591864,69.91707317,0.386152383,15.2084472,9.73655801,130.297,233.559,24.4,0.939489531,41.58662017,78.398526,63.734076,5.602857551
1964,1.513753298,1.172374722,0.377008687,1.172374722,0.377008687,0.362497172,17.79535393,16.3446193,9.4,16.09253698,3.19,29.05573868,70.16585366,0.362497172,15.10802741,9.619515907,129.095,232.277,23.8,1.213619529,41.32982595,78.678819,63.900074,5.420578815
1965,1.422272294,1.130685238,0.312531686,1.130685238,0.312531686,0.334721359,17.58293238,16.43079196,9.4,15.98269563,2.913,29.05980441,70.21463415,0.392531686,14.75705019,9.62736743,128.619,233.011,23.3,1.420251146,41.88770398,78.905771,63.874156,5.372205386
1966,1.443337505,1.08350876,0.25431582,1.08350876,0.25431582,0.293095836,17.48169731,16.47856691,9.5,16.02587454,2.721,28.99328889,70.21219512,0.293095836,14.44177907,9.584035596,128.744,236.639,22.7,1.380993746,41.89953068,79.084443,63.632838,5.442395033
1967,1.271456859,1.036618683,0.199987842,1.036618683,0.199987842,0.255605821,16.97247164,15.97453739,9.4,15.95903756,2.558,28.73180312,70.56097561,0.255605821,14.29083929,9.675531433,127.484,234.856,22.0,0.580599373,40.02775693,79.448876,64.072047,5.497097597
1968,1.28483886,1.024374758,0.184018391,1.024374758,0.184018391,0.244381709,17.05087535,16.04831718,9.8,15.29564238,2.464,28.73061929,69.95121951,0.244381709,14.29116983,9.621138957,130.822,240.987,21.3,1.062565286,39.28689718,79.030193,63.332195,5.511613548
1969,1.320480693,1.012646886,0.121653824,1.012646886,0.121653824,0.228398249,17.57668957,16.39768062,9.5,14.52433995,2.456,28.54727204,70.50731707,0.228398249,14.63372597,9.600349396,128.864,239.492,20.6,0.719874033,39.01293722,79.485345,63.841303,5.40811279
1970,1.234179998,0.251248084,0.10499893,0.356247014,0.0,0.144139764,15.8493842,15.17474933,9.5,14.46104206,2.48,30.01644785,70.80731707,0.392635658,20.23932183,10.35053436,128.466,236.992,19.9,0.096506502,41.45929723,79.621836,64.231803,5.370336791
1971,1.461056293,0.300593406,0.059333433,0.359926839,0.0,0.118983135,16.04796309,15.59804698,9.3,14.08056252,2.266,30.37488336,71.10731707,0.373349114,20.20340035,10.30049087,125.887,232.152,19.1,0.847133102,40.08256436,80.063825,65.02277,5.279803564
1972,1.056791834,0.363337187,0.054904759,0.418241946,0.0,0.124542766,16.42490719,15.92772189,9.4,12.86273178,2.01,30.03249286,71.15609756,-0.151372709,20.20144307,10.32174051,124.305,232.026,18.3,-0.151372709,39.310828,80.355632,65.030676,8.411042254
1973,1.417957792,0.403644271,0.106320793,0.509965064,0.0,0.13431347,16.49188098,16.37868889,9.3,14.10618267,1.879,29.8048454,71.35609756,0.29684845,20.48838149,10.14642192,122.92,228.488,17.5,1.041968094,39.56838891,80.577302,65.577269,8.110428794
1974,1.709424137,2.229509459,0.167129457,2.396638917,0.0,0.179080812,16.53692751,16.57250416,9.1,13.63748518,1.835,29.75400616,71.95609756,0.325206963,20.96287434,10.86683451,117.149,219.819,16.7,-0.138965356,39.8500251,81.269686,66.741128,7.85315973
1975,2.135474773,2.002004955,0.108244353,2.110249308,0.0,0.153767201,16.24641446,16.90365318,8.8,12.57288485,1.774,29.88658867,72.60487805,0.346866581,20.51034391,10.91987923,112.933,212.742,15.9,0.346866581,39.08532389,81.938968,67.737085,9.663590612
1976,1.952907288,1.940396611,0.068241378,2.008637988,0.0,0.121398441,16.42209847,16.91783668,8.8,12.34793674,1.738,29.38602324,72.85609756,-0.231742035,20.31921418,10.84488597,110.078,206.648,15.2,-0.231742035,39.20452455,82.264434,68.440906,7.184978401
1977,1.865266895,1.946316461,0.086842058,2.033158519,0.0,0.115122249,16.62819611,17.64665268,8.6,12.50643065,1.79,29.20112874,73.25609756,-0.336291103,20.1143278,10.89733166,107.656,202.603,14.5,-0.336291103,39.41154573,82.665173,69.112768,7.039493383
1978,1.112660845,1.795027626,0.03843661,1.833464236,0.0,0.105513358,16.71430893,18.08486598,8.7,12.74609665,1.76,29.04308167,73.35609756,-0.301559374,19.88786567,10.73537334,105.872,199.0,13.8,0.112366521,39.39564278,82.900822,69.564958,6.936288468
1979,1.526995329,3.691416599,0.068135164,3.759551763,0.0,0.103159849,16.69475917,18.08427167,8.5,13.0011563,1.808,28.48086009,73.80487805,0.175771328,20.20874042,10.87481024,102.067,195.119,13.2,0.175771328,40.14202792,83.483615,70.34525,6.752815071
1980,1.335756951,4.130509053,0.075972582,4.206481636,0.0,0.11411241,18.36763662,17.90658953,8.8,13.11472975,1.8395,32.80101394,73.6097561,0.078607726,20.83287573,11.23462044,102.561,194.955,12.6,0.078607726,40.68504294,83.412445,70.519523,6.463973448
1981,1.02307601,2.656191418,0.054622595,2.710814013,0.0,0.085614952,18.18133428,18.56098358,8.6,13.07390374,1.812,32.46831432,74.0097561,0.757604035,19.94324078,11.27923852,100.866,190.25,12.1,1.135676003,40.75460003,83.701062,71.223979,6.379715123
1982,1.019124007,1.288950701,0.027744207,1.316694908,0.0,0.093159611,17.99503194,18.40235156,8.5,12.30693674,1.8275,32.1356147,74.36097561,0.714332748,19.17475901,11.56535191,97.53,183.148,11.7,1.153802009,39.45857766,84.067376,72.030283,6.371290967
1983,1.01214,1.792200494,0.031162718,1.823363212,0.0,0.08570133,17.8087296,18.14428645,8.6,11.7274418,1.799,31.80291508,74.46341463,0.541151237,19.30366836,11.27553246,97.093,179.711,11.3,1.145364005,39.80358176,84.134416,72.440896,6.35118011
1984,1.013442016,1.603373223,0.01843786,1.621811083,0.0,0.079414918,17.62242725,18.51887627,8.7,11.64478015,1.8065,31.47021546,74.56341463,0.319797864,18.70114284,11.24120256,96.122,177.94,10.9,0.019308441,38.43149569,84.267374,72.67514,6.446180169
1985,1.012316012,1.414477506,0.019574865,1.434052371,0.0,0.078596768,17.43612491,18.80273467,8.7,10.92490046,1.844,31.13751584,74.56341463,0.305583803,18.76875553,11.28936657,95.529,178.088,10.6,-0.02441088,38.44992929,84.335492,72.706468,6.862258135
1986,1.013683987,0.511080284,0.013988659,0.525068943,0.0,0.079379431,17.24982257,18.83204721,8.7,10.56270461,1.8375,30.80481622,74.61463415,0.259990415,18.46185011,11.24482196,94.575,177.915,10.4,1.175883975,38.03818316,84.471199,72.91003,6.664268268
1987,1.006957984,0.808462492,0.022483387,0.83094588,0.0,0.077439201,17.06352023,19.12356565,8.6,10.50914393,1.872,30.4721166,74.76585366,0.236751523,18.55888872,11.21270234,94.286,176.195,10.2,1.193099985,38.0266603,84.583587,73.17942,6.515948816
1988,1.230672272,0.513895029,0.074677682,0.58857271,0.0,0.092833743,16.87721789,19.42904698,8.9,10.55466687,1.934,30.13941698,74.76585366,-0.885935543,18.55881474,14.0153233,94.402,176.244,9.9,-0.885935543,38.67715159,84.553999,73.257736,7.151052195
1989,1.192939699,0.616500204,0.033036258,0.649536462,0.0,0.070218868,16.69091554,19.14914379,8.8,10.24455906,2.014,29.80671736,75.01707317,-0.588658576,18.19507142,8.579107735,92.515,174.804,9.7,-0.588658576,39.71843026,84.859,73.632331,7.324814205
1990,0.994596176,0.73137641,0.030134351,0.761510761,0.0,0.17128257,16.5046132,19.40733586,8.6,11.70917021,2.081,29.47401774,75.21463415,0.576211367,18.35452762,8.738613273,90.868,172.059,9.4,1.002441576,47.99773704,85.145083,74.106984,7.596643885
1991,1.010054312,0.519264497,0.019214198,0.538478695,0.0,0.165609473,16.53477644,19.00338958,8.6,9.616838136,2.0625,29.5278834,75.36585366,-1.617380449,18.07944587,8.702956651,90.652,170.606,9.1,-0.460536764,42.23022544,85.266684,74.414147,-1.017743618
1992,1.015733836,0.565528655,0.029144625,0.59467328,0.0,0.160327867,16.56493967,19.02284515,8.5,9.480973717,2.046,29.58174905,75.61707317,-2.26492858,17.55247428,8.619387831,88.984,168.459,8.8,2.187783165,41.46281182,85.551791,74.883314,0.022895675
1993,1.040174714,0.56343982,0.027692422,0.591132242,0.0,0.156006144,16.59510291,19.21833148,8.8,9.484315091,2.0195,29.6356147,75.4195122,-3.223782848,17.23525537,8.481493041,90.066,170.257,8.5,3.568459304,40.77623831,85.388443,74.731364,2.38931822
1994,1.034786282,0.458949386,0.036058422,0.495007809,0.0,0.15157547,16.62526615,19.25618525,8.8,9.504886345,2.0015,29.68948035,75.6195122,-3.509996299,16.36021098,11.581737,89.515,169.025,8.2,7.36485161,40.51695438,85.542187,74.984171,3.893123532
1995,1.032714247,0.396205436,0.042183914,0.43838935,0.0,0.146826393,16.65542938,19.216897,8.8,10.93987125,1.978,29.74334601,75.62195122,-5.195911147,16.36701479,8.435529356,89.372,166.964,7.9,6.928602789,44.69445371,85.594196,75.346237,3.735326067
1996,1.043260068,0.565106035,0.030667302,0.595773337,0.0,0.140696345,16.68559262,19.57536656,8.8,9.608234036,1.976,29.79721166,76.02682927,-6.107559799,16.06518375,8.415077203,87.123,158.008,7.7,10.29902194,39.1839936,85.861594,76.294626,7.197080683
1997,1.068499196,0.458663733,0.025584399,0.484248132,0.0,0.134805195,16.71575586,20.33085305,8.7,9.411040872,1.971,29.85107731,76.42926829,-7.522159978,15.82741927,8.350952339,85.4,149.441,7.5,9.818867995,38.68880684,86.122082,77.361726,9.587873783
1998,1.047623767,0.257808243,0.018467937,0.27627618,0.0,0.127636808,16.74591909,20.26628688,8.6,9.283139859,1.999,29.90494297,76.5804878,-9.387487532,15.76150899,8.332911406,83.564,145.506,7.4,4.921110893,34.31899366,86.393867,77.888799,9.988808026
1999,1.027469242,0.359037135,0.014700632,0.373737768,0.0,0.125666293,16.77608233,20.10112278,8.6,9.057351104,2.0075,29.95880862,76.58292683,-10.88003187,15.82638043,8.312817576,83.804,144.774,7.2,2.25877869,34.20436516,86.408461,78.132135,10.95231518
2000,1.032470898,0.745144665,0.008964465,0.75410913,0.0,0.124590013,16.80269695,20.46979674,8.5,8.981332316,2.056,30.00633714,76.63658537,-12.70740673,18.1,8.604273118,83.359,143.926,7.1,-1.914076731,43.08134508,86.515621,78.377807,13.57590623
2001,1.03810601,0.546110405,0.005093423,0.551203828,0.0,0.126743437,16.84173172,20.17153693,8.5,8.95979443,2.0305,30.07604563,76.83658537,-13.52260537,17.6,8.490679691,84.172,144.307,7.0,-3.768367757,37.00155,86.546664,78.507907,11.16577021
2002,1.019840061,0.40185211,0.003377848,0.405229958,0.0,0.128368024,16.87721789,19.44553028,8.5,8.462634781,2.0205,30.13941698,76.93658537,-13.59066928,17.3,8.582194252,83.72,144.378,6.9,-4.328858747,36.53940024,86.659299,78.537802,13.78227532
2003,1.030891084,0.695306002,0.007747756,0.703053758,0.0,0.126437394,16.91270405,19.50650553,8.4,8.557609423,2.0475,30.20278834,77.03658537,-13.54754123,17.0,8.727875932,83.557,143.909,6.9,-4.170052966,36.2773682,86.699123,78.674616,13.93658196
2004,1.027799361,0.725255161,0.01290902,0.738164181,0.0,0.119821511,16.94819021,19.59761671,8.2,8.508567624,2.0515,30.2661597,77.48780488,-14.66714552,16.4,9.02754633,81.47,140.559,6.8,-3.01170492,36.29724873,87.053591,79.213754,18.05999208
2005,1.016685967,0.948659326,0.016466247,0.965125574,0.0,0.116997369,16.98367637,19.46927252,8.3,8.849668677,2.057,30.32953105,77.48780488,-15.56373856,16.1,9.330715509,81.507,141.969,6.7,-3.451690347,44.22056176,87.099775,79.110897,17.05832709
2006,0.985576405,0.599150288,0.041539898,0.640690186,0.0,0.111926368,16.55926189,18.94591684,8.1,8.48518779,2.108,29.57160963,77.68780488,-15.19158266,15.7,9.550411276,80.928,141.119,6.7,-5.986043774,36.2641699,87.271537,79.406502,13.98273022
2007,1.015311492,0.572197346,0.0439878,0.616185146,0.0,0.10656842,16.13484741,19.04291178,8.0,8.786744273,2.12,28.81368821,77.98780488,-14.84232383,15.4,9.666196299,79.447,138.605,6.6,-6.083195546,35.87530723,87.546887,79.752684,16.18062371
2008,1.013542786,0.923765045,0.062556907,0.986321952,0.0,0.103985171,15.71043293,18.27849126,8.1,9.040263477,2.072,28.05576679,78.03902439,-14.08922959,15.2,10.54168899,78.705,136.811,6.5,-8.873506525,35.83559732,87.649289,79.962585,8.358700857
2009,0.987140831,0.268522828,0.042710089,0.311232917,0.0,0.101526342,15.28601845,16.80868142,7.9,9.243100135,2.002,27.29784537,78.3902439,-17.08513948,14.9,9.923982672,79.055,134.966,6.4,-8.209324702,34.12502108,87.754436,80.290213,7.62660236
2010,1.015662288,0.261842025,0.127400904,0.389242929,0.0,0.092653796,14.85805536,17.43173699,7.995,9.537176519,1.931,26.53358682,78.54146341,-17.71026103,14.5,10.61176979,77.159,131.884,6.2,-8.368130482,38.21303236,88.066423,80.706209,9.407540304
2011,0.973630034,0.319429946,0.179611229,0.499041175,0.0,0.089940658,15.04326552,16.60418962,8.073,9.4,1.8945,26.86433602,78.64146341,-19.24094272,14.3,11.37504056,77.926,132.138,6.1,-10.57952433,46.68619853,88.028523,80.710977,7.098335072
2012,0.923415486,0.181965717,0.119270885,0.301236603,0.0,0.085965185,15.22492707,15.78976015,8.102,9.624719306,1.8805,27.18874808,78.74146341,-21.6152562,14.2,11.29186888,77.717,131.345,6.0,-12.94972396,28.65808101,88.081335,80.725484,3.385655837
2013,0.957650289,0.247937318,0.09182265,0.339759968,0.0,0.081954649,15.40658861,16.11117526,8.215,9.791547478,1.8575,27.51316014,78.74146341,0.284513708,14.0,11.27736253,78.083,131.259,6.0,2.193608034,20.84055734,88.041672,80.664948,7.994445362
2014,0.953071714,0.27425717,0.070988059,0.345245229,0.0,0.076956092,15.58825016,16.04091676,8.237,9.88858685,1.8625,27.83757221,78.84146341,0.275667474,13.9,11.29563021,79.372,131.878,5.9,0.112823757,11.73129721,87.886847,80.550424,7.846153686
2015,0.929971014,0.02116689,0.023352961,0.044519851,0.0,0.074316492,15.7699117,15.56001544,8.44,9.855955812,1.8435,28.16198427,78.6902439,0.279614717,13.9,10.45807197,80.429,134.303,5.8,0.978225111,8.465306507,87.755129,80.251341,8.669241163
2016,0.9241045,0.083065463,0.025055091,0.108120554,0.0,0.07189703,15.7699117,15.14988272,8.493,9.953759712,1.8205,28.16198427,78.53902439,0.310636413,14.0,10.27063303,82.097,138.505,5.7,0.667514008,3.334435592,87.547378,79.848681,8.412145571
2017,0.906823346,0.134836875,0.026697687,0.161534562,0.0,0.067358331,15.7699117,14.82324544,8.638,10.02377375,1.7655,28.16198427,78.53902439,0.291235075,13.8,10.96804951,81.986,139.215,5.7,0.934020007,3.34317037,87.55521,79.779206,8.346892859
2018,0.930998243,0.258247055,0.022795626,0.281042681,0.0,0.066167651,15.7699117,15.2225181,8.678,9.943596943,1.7295,28.16198427,78.63902439,0.272797837,13.6,11.65980186,80.593,137.524,5.6,1.112696005,4.348873846,87.735705,79.931689,8.160100493
2019,0.902667633,0.290869439,0.012759276,0.303628715,0.0,0.065968621,15.7699117,14.67338071,8.7,10.05202629,1.706,28.16198427,78.78780488,0.311377021,13.6,14.2,79.455,136.83,5.5,1.508492015,4.609433692,87.799779,79.977234,8.582632568
2020,0.892961842,0.146289957,0.014476602,0.16076656,0.0,0.068607453,15.7699117,13.03282795,10.3,10.98634879,1.6415,28.16198427,76.9804878,0.255812146,14.0016775,11.46352935,92.267,162.991,5.4,2.172874008,8.002116209,86.450152,77.113673,7.964712426
2021,0.890531803,0.754588126,0.060604998,0.815193124,0.0,0.065825539,14.81658873,16.2934911,10.4,10.7,1.664,29.70021901,76.32926829,-3.886898234,12.77312336,12.33585566,81.47237208,99.46298768,5.4,0.231441705,6.81278631,85.23758,75.383496,7.68551884
2022,0.980664384,0.191060812,0.023911151,0.191060812,0.014902616,0.113314813,15.70787479,17.10386936,7.323748471,9.650843555,1.355384712,25.58772291,78.96103683,-2.629048568,12.6571297,15.94035057,78.35351001,99.88187284,5.505016751,-1.770748257,14.84978794,88.94434643,78.96103683,8.024814409
2023,2.816961538,2.821161538,2.821161538,2.821161538,2.821161538,2.816961538,9.6308,12.1732,5.271190439,6.481790439,2.821161538,31.0542,73.62462881,2.81,10.2422,10.2422,73.47862881,72.63102881,3.833561538,2.81,22.88356154,78.20802881,78.25102881,7.900990439
